COMPOUNDCODE,Potency vs Parasite (uMol),Ion Regulation Activity,SSI%,EC50Chembl(uM),q137,q481,q458,frg-54,q300,q457,q155,q192,frg-26,q139,q277,q485,q453,frg-8,Nn,q358,q483,q257,H1a,ed80,C21,ed70,f407,S3,C24,HydrophobicGroup,ed20,ew80,ew30,C20,ew90,ew40,ew20,f004,C5,ew100,C22,ed60,ed50,ew50,f007,ed40,f015,C23,ew75,f147,f245,f301,f005,ew60,f390,f244,f392,ew10,f393,ew70,f456,f443,f441,f444,q017,q039,q040,q041,f413,f440,O10,C9,N1,HDT,S2,C8,C27,AliRingAttachment,C26,N13,C6,BasicGroup,HDO,H2,O6,N14,C10,N8,C25,C13,N11,C3,N12,HAN,C2,O3,O9,AroRingAttachment,HDN,HAT,C1,N7,N10,O7,HAS,N6,C4,H4,O11,C11,N2,AcidGroup,O5,PRX-time2,C12,H3,HAO,xccn-t12,nOS,nCOOH,sNH3+,dCH2,sNH2,ssNH2+,nX,zw3,t-16-1,nC(sp2),sulphonamide-t5,thio-acid,t-16-2,nOH,tert-amine-t11,dsCH,aaCH,sssCH,ddC,thio-keto,tsC,dssC,urea-thio,zw1,nC(sp3),nCO,urea,ssCH2,tCH,aasC,aaaC,t-16-3,nNprot,zw2,ssssC,sBr,dNH,aaN,sssSiH,tN,ddsN,ssssSi,sssN,sOH,ssNH,aasN,dsssP,sSH,ssS,sssssP,sCl,nNneutral,NnH,N4,sssP,NbN,dssS,dsN,ssSiH2,fg5,ssO,CamideNH,aaS,aaNH,ssssN+,sF,sSiH3,sPH2,sssNH+,ssPH,sI,dS,BasicNH0R2AroRings,ddssS,PRX-time1,BasicNH02AroRings,PRX-time-1,NonOrganicAtom,UB,BasicNH1R2AroRings,BasicNH12AroRings,macrocyclic,OverallCharge,HBA-prof,ACamideO-nh0,Aamidine,AbasicNH1,HBD-lip,AbasicNH0,CH0Aa,CH2Aa,CH2link,ERTLNotPSA,CSSC,Ester,HBD-prof,Michael-accept,NBA,NH1and2CdO,ASamideO-nh-nh2,NO,quatN,logP,CH3Aa,NRB,OHCHCdO,Ocarbamate,HaloC,Pamide,ACamideO-nh-nh2,HBA-lip,CH1Aa,CH2hetero,CH2long,ERTLNoSPtPSA,HBD-cam,ASamideO-nh0,Vx,PositiveCharge,AromaticRings,CBr,CH3hetero,CF3,CamideNH0,MW,NegativeCharge,Flex,basic-NH2,benzylicOH,benzdiazepine-ring,RbasicNH1,anycarbonyl,aromI,arylNHCO,RCamideO-nh-nh2,ch2-lipo-t9,dNO,activatedCH,aromCl,RSamideO-nh0,diazo-aryl,diazo,dione-1-4,aliphOH-t6,easy-oxy-t13,ertl-33,amide-dicarbonyl,di-widhraw-cx4,aminoethanol0,Pester,ertl-35,ertl-37,benzdiaz-t18,RSR,Samide-NH,aldehydes,aromO,carbamate-and-thio,SamideNH0,carbonate-carbamate,RCamideO-nh0,Ramidine,aromF,aromBr,branchedCnotRing,aminoethanol1,RSamideO-nh-nh2,RbasicNH0,allylic-oxyd-t10,phenolic-tautomer,poly-sugars,polyOH,ertl-41,ertl-39,hydroxyA,nH0indole-like,ketone-t14,hetero-halo-di-n-arom,ohccn-t17,phenol,halosp3sp3halo,nitro-no-ortho-t15,nc(do)n,nonring-at,pyridine,quinone-type,ring5-nH0,p-hetero-or-halo,nHindole-like,nitro-O,phenol-pyr2r,pyridones,ring5nH,ringOdouble,ringat,ringdiol,ring-join,hindred-phenol,intraHbond6,ether,est-lact-latm-carbm-t7,lipovolume,hydroxylation-t8,ertl-43,ketones,nitro,not-ring-diol,intraHbond5,p-withdraw-phenol,ketal,perfluoro,sp-carbons,spiroC,sulfonicacid,sulphates,sp2-carbons,logS,logS @ pH7.4,logP<1>,logD,2C9 pKi,hERG pIC50,BBB log([brain]:[blood]),BBB category,HIA category,P-gp category,2D6 affinity category,PPB90 category,MW<1>,HBD,HBA,TPSA,Flexibility,Rotatable Bonds
c1ncc2n(c1C(=O)Nc1ccnc(c1)C(F)(F)F)c(nn2)c1c(nn(c1C)c1ccc(cc1)F)C,10,,,,42,14,23,0,10,12,6,7,0,29,20,11,30,1,8,1,13,1,0,3,4,2,0,0,0,0,0,0,0,4,0,0,0,5,1,2,1,0,0,0,5,0,0,0,0,0,0,2,5,1,2,0,1,1,5,0,1,4,7,4,10,10,11,12,0,7,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,12,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0,0,19,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,1,0,0,0,9,4,0,0,0,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,1,0,8,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,5,6,0,0,0,1,0,0,0,0,102.9,0,0,1,0,26,0,0,0,0,3.821,2,12,0,0,1,0,1,9,0,0,0,102.9,1,0,317.5,5,5,0,0,1,0,496.4,0,0.15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,5,0,0,0,0,0,0,0,26,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08554,0.08554,3.821,3.821,6.269,5.451,-0.405,-,+,no,high,high,496.4,1,9,102.9,0.15,6
c1ncc2n(c1C(=O)NCCc1ccccc1)c(nn2)c1ccc(cc1)OC(F)F,3.17,,,,24,12,15,0,4,6,8,6,0,15,18,7,16,1,5,2,9,3,1,2,2,1,2,0,0,0,0,0,0,3,0,0,0,2,1,1,0,0,0,0,1,1,1,1,0,0,1,10,2,0,0,2,0,0,1,0,2,0,0,0,10,6,7,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,5,0,0,0,7,1,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0,11,1,0,0,0,0,0,0,3,1,0,2,0,5,3,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,5,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,3,5,0,0,0,1,0,0,1,2,81.41,0,0,1,0,21,0,0,0,0,3.015,0,10,0,0,0,0,1,7,0,1,0,81.41,1,0,281.2,3,4,0,0,0,0,409.4,0,0.2424,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,21,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8628,0.8628,3.015,3.015,5.63,5.321,-0.2982,-,+,yes,high,high,409.4,1,7,81.41,0.2424,8
c1ncc2n(c1C(N1C(CCC1)c1ccccc1)=O)c(nn2)c1ccc(cc1)OC(F)F,3.56,,,,29,43,20,0,5,7,6,9,0,19,18,20,20,1,5,2,32,3,2,2,2,0,2,0,0,0,0,0,0,3,0,0,0,2,1,1,0,0,0,0,1,1,1,1,0,0,1,10,2,0,0,3,0,0,1,0,2,0,0,0,7,8,15,28,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,0,0,0,7,0,7,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0,11,2,0,0,0,0,0,0,5,1,0,3,0,5,3,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,3,5,1,0,0,0,0,0,2,3,72.62,0,0,0,0,21,0,0,0,0,3.411,0,13,0,0,0,0,0,7,0,1,0,72.62,0,0,298.5,3,4,0,0,0,1,435.4,0,0.1667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,1,26,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7294,0.7294,3.411,3.411,5.823,6.038,-0.585,-,+,yes,medium,high,435.4,0,7,72.62,0.1667,6
c1ncc2n(c1C(N1CCCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,10,,,,27,21,16,0,4,6,5,7,0,18,12,7,17,1,5,2,13,3,1,2,1,0,2,0,0,0,0,0,0,3,0,0,0,2,1,1,0,0,0,0,1,1,1,1,0,0,0,10,2,0,0,1,0,0,1,0,2,0,0,0,7,4,5,10,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,5,0,0,0,6,0,7,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,6,1,0,0,0,0,0,0,5,1,0,4,0,4,3,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,3,5,1,0,0,0,0,0,2,4,72.62,0,0,0,0,15,0,0,0,0,1.937,0,12,0,0,0,0,0,7,0,2,0,72.62,0,0,237.7,3,3,0,0,0,1,359.3,0,0.1724,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,1,20,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.144,2.144,1.937,1.937,5.065,5.606,-0.5164,-,+,no,medium,low,359.3,0,7,72.62,0.1724,5
c1ncc2n(c1C(N1CCN(CC1)c1ncccc1)=O)c(nn2)c1ccc(cc1)OC(F)F,10,,,,33,45,21,0,5,8,6,7,1,24,17,17,21,1,7,2,29,3,1,2,1,0,2,0,0,0,1,0,0,3,0,0,0,2,1,1,1,0,0,0,1,1,1,1,0,0,0,10,2,0,0,1,0,0,1,0,2,0,0,0,7,8,13,22,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,4,0,7,0,0,0,7,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,10,1,0,0,0,0,0,0,5,1,0,4,0,5,3,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,5,5,1,0,0,0,0,0,0,4,88.75,0,0,0,0,21,0,0,0,0,2.077,0,14,0,0,0,0,0,9,0,4,0,88.75,0,0,304.4,5,4,0,0,0,1,451.4,0,0.1622,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,3,0,0,0,0,0,0,1,27,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.68,1.303,2.077,2.529,5.63,5.87,-0.6439,-,+,yes,medium,high,451.4,0,9,88.75,0.1622,6
c1ncc2n(c1C(N1CCN(CC1)S(=O)(C)=O)=O)c(nn2)c1ccc(cc1)OC(F)F,10,,,,33,24,18,0,7,6,6,11,0,24,12,7,21,1,6,5,13,3,1,2,1,0,2,0,0,0,0,0,0,3,0,0,0,2,1,1,0,0,0,0,1,1,1,1,1,1,0,14,2,0,0,0,0,0,1,0,2,0,2,1,12,4,5,10,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,6,0,0,0,6,0,10,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,6,1,0,0,0,0,0,0,6,1,0,4,0,4,3,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,6,0,0,0,6,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,3,0,20,0,0,0,3,7,1,0,0,0,0,0,0,4,110,0,0,0,0,15,0,0,0,0,1.266,0,15,0,0,0,0,0,10,0,4,0,118.4,0,1,289.9,3,3,0,1,0,1,452.4,0,0.1765,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,1,21,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.541,2.541,1.266,1.266,5.256,5.652,-0.9239,-,+,yes,medium,low,452.4,0,10,110,0.1765,6
c1ncc2n(c1C(N1CCOCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,10,,,,27,22,16,0,4,6,5,7,0,20,12,7,19,1,5,3,13,3,1,2,1,0,2,0,0,0,0,0,0,3,0,0,0,2,1,1,0,0,0,0,1,1,1,1,0,0,0,16,2,0,0,0,0,0,1,0,2,0,0,0,7,4,5,10,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,1,0,6,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,6,1,0,0,0,0,0,0,5,1,0,4,0,4,3,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,3,6,1,0,0,0,0,0,0,4,81.85,0,0,0,0,15,0,0,0,0,1.48,0,13,0,0,0,0,0,8,0,4,0,81.85,0,0,243.6,3,3,0,0,0,1,375.3,0,0.1667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,1,21,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.674,2.674,1.48,1.48,5.099,5.357,-0.6524,-,+,yes,medium,low,375.3,0,8,81.85,0.1667,5
c1ncc2n(c1C(Nc1ncccc1)=O)c(nn2)c1ccc(cc1)OC(F)F,10,,,,28,12,15,0,5,8,6,7,0,19,17,7,18,1,6,2,9,3,1,2,1,0,2,0,0,0,0,0,0,3,0,0,0,2,1,1,1,0,0,0,1,1,1,1,0,0,0,10,2,0,0,1,0,0,1,0,2,0,0,0,8,6,7,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,7,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,1,0,0,0,5,3,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,1,0,6,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,4,5,0,0,0,1,0,0,0,0,94.3,0,0,1,0,21,0,0,0,0,2.323,0,8,0,0,0,0,1,8,0,0,0,94.3,1,0,248.9,4,4,0,0,0,0,382.3,0,0.1935,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,3,0,0,0,0,0,0,0,21,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.247,1.247,2.323,2.323,5.61,5.051,-0.3089,-,+,yes,high,high,382.3,1,8,94.3,0.1935,6
c1ncc2n(c1C(NCc1cc(ccc1)Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,0.25,,,,27,12,17,0,4,6,7,7,0,18,18,7,18,1,5,2,9,3,1,2,2,0,2,0,0,0,0,0,0,3,0,0,0,2,1,1,0,0,0,0,2,1,1,1,0,0,0,10,2,0,2,0,1,1,2,0,3,0,0,0,9,6,7,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,5,0,0,0,8,1,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0,10,1,0,0,0,0,0,0,2,1,0,1,0,6,3,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,5,1,0,0,5,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,3,5,0,0,0,1,0,0,0,0,81.41,0,0,1,0,21,0,0,0,0,3.053,0,10,0,0,0,0,1,7,0,1,0,81.41,1,0,279.3,3,4,0,0,0,0,429.8,0,0.2121,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,21,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6003,0.6003,3.053,3.053,5.855,5.114,-0.3328,-,+,no,high,high,429.8,1,7,81.41,0.2121,7
c1ncc2n(c1C(NCc1ccc(cc1)Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,1.34,,,,27,12,17,0,4,6,7,7,0,18,18,7,19,2,5,2,9,3,1,2,2,0,2,0,0,0,0,0,0,3,0,0,0,4,1,1,0,0,0,0,1,1,1,1,0,0,0,10,4,0,2,0,1,1,2,0,3,0,0,0,9,6,7,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,5,0,0,0,8,1,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0,10,1,0,0,0,0,0,0,2,1,0,1,0,6,3,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,5,1,0,0,5,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,3,5,0,0,0,1,0,0,0,0,81.41,0,0,1,0,21,0,0,0,0,3.053,0,10,0,0,0,0,1,7,0,1,0,81.41,1,0,279.3,3,4,0,0,0,0,429.8,0,0.2121,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,21,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6003,0.6003,3.053,3.053,5.866,5.272,-0.3328,-,+,no,high,high,429.8,1,7,81.41,0.2121,7
c1ncc2n(c1C(NCc1ccccc1Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,0.38,,,,27,12,16,0,4,6,7,7,0,18,18,7,17,1,5,2,9,3,1,2,2,0,2,0,0,0,0,0,0,3,0,0,0,2,1,1,0,0,0,0,1,1,1,1,0,0,0,10,2,0,2,1,1,1,2,0,3,0,0,0,9,6,7,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,5,0,0,0,8,1,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0,10,1,0,0,0,0,0,0,2,1,0,1,0,6,3,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,5,1,0,0,5,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,3,5,0,0,0,1,0,0,0,0,81.41,0,0,1,0,21,0,0,0,0,3.053,0,10,0,0,0,0,1,7,0,1,0,81.41,1,0,279.3,3,4,0,0,0,0,429.8,0,0.2121,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,21,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6003,0.6003,3.053,3.053,5.852,5.132,-0.3245,-,+,no,high,high,429.8,1,7,81.41,0.2121,7
c1ncc2n(c1C(NCC1CCOCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,10,,,,27,12,15,0,4,6,7,7,0,18,12,5,17,1,5,3,7,3,2,2,1,0,2,0,0,0,0,0,0,3,0,0,0,2,1,1,0,0,0,0,1,1,1,1,0,0,1,12,2,0,0,2,0,0,1,0,2,0,0,0,9,4,5,6,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,1,1,0,6,1,8,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,2,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,6,2,0,0,0,0,0,0,7,1,0,5,0,4,3,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,5,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,3,6,0,0,0,1,0,0,2,4,90.64,0,0,1,0,15,0,0,0,0,2.133,0,15,0,0,0,0,1,8,1,3,0,90.64,1,0,271.8,3,3,0,0,0,0,403.4,0,0.2188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,21,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.845,1.845,2.133,2.133,5.141,5.083,-0.4069,-,+,yes,high,high,403.4,1,8,90.64,0.2188,7
c1ncc2n(c1C(NCCN1CCOCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,10,,,,26,10,15,0,4,6,8,6,0,19,12,5,17,1,6,3,7,3,1,2,1,0,2,0,0,0,0,0,0,3,0,0,0,2,1,1,0,0,0,0,1,1,1,1,0,0,0,12,2,0,0,0,0,0,1,0,2,0,0,0,10,4,5,6,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,6,0,6,0,1,0,6,1,9,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,2,0,0,0,0,0,2,0,0,11,0,0,0,0,1,0,6,1,0,0,0,0,0,0,7,1,0,6,0,4,3,0,1,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,5,1,0,0,6,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,17,0,0,0,4,6,0,0,0,1,0,0,0,6,93.88,0,0,1,0,15,0,0,0,0,1.602,0,16,0,0,0,0,1,9,0,6,0,93.88,1,0,281.8,4,3,0,0,0,0,418.4,0,0.2424,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,21,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.083,2.704,1.602,1.698,5.034,5.379,-0.3554,-,+,yes,medium,high,418.4,1,9,93.88,0.2424,8
c1ncc2n(c1CCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,0.32,,,,23,12,17,0,3,5,7,0,0,17,17,7,12,1,4,1,9,2,1,2,2,2,2,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,2,1,1,1,0,0,0,6,4,0,4,0,2,2,3,0,4,0,0,0,7,6,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,4,0,0,0,9,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,17,0,0,0,0,0,0,9,1,0,0,0,0,0,0,4,0,0,3,0,7,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3,4,0,0,0,0,0,0,3,3,52.31,0,0,0,0,21,0,0,0,0,4.667,0,11,0,0,0,0,0,5,0,0,0,52.31,0,0,273.2,3,4,0,0,0,0,416.4,0,0.2121,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,21,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2978,0.2978,4.667,4.667,5.912,6.511,-0.1821,-,+,yes,medium,high,416.4,0,5,52.31,0.2121,7
c1ncc2n(c1CCN1Cc3c(C1)cccc3)c(nn2)c1ccc(cc1)OC(F)F,10,,,,24,30,19,0,3,5,6,0,0,15,17,18,11,1,5,1,25,2,1,2,3,1,2,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,1,1,1,1,0,0,0,6,2,0,0,1,0,0,1,0,2,0,0,0,6,8,16,22,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,4,3,0,5,0,0,0,8,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,17,0,0,0,0,1,0,10,1,0,0,0,0,0,0,5,0,0,4,0,6,3,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,21,0,0,0,4,4,0,0,0,0,0,0,1,2,55.55,0,0,0,0,21,0,0,0,0,3.599,0,12,0,0,0,0,0,6,0,3,0,55.55,0,0,282.9,4,4,0,0,0,0,407.4,0,0.1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,24,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.437,1.976,3.599,3.099,5.491,6.557,0.0508,-,+,yes,medium,high,407.4,0,6,55.55,0.1765,6
